intraday_price,market_cap,price_change,stock_name,volume
14.11,9.17B,(+0.28%),American Airlines Group Inc. (AAL),"28,201,848"
32.15,40.898B,(+0.12%),Shopify Inc. (SHOP),"30,214,967"
35.19,50.296B,(-0.43%),Freeport-McMoRan Inc. (FCX),"30,109,496"
31.00,133.733B,(0.00%),Comcast Corporation (CMCSA),"28,961,827"
4.0600,3.04B,(0.00%),Transocean Ltd. (RIG),"36,010,997"
221.39,1.65T,(-0.09%),Microsoft Corporation (MSFT),"36,789,063"
1.5200,2.353B,(+1.32%),RLX Technology Inc. (RLX),"27,630,754"
6.81,7.515B,(-0.29%),Southwestern Energy Company (SWN),"31,582,304"
14.20,25.091B,(0.00%),Barrick Gold Corporation (GOLD),"37,677,149"
46.74,178.102B,(-0.02%),Wells Fargo & Company (WFC),"26,556,120"
36.79,295.145B,(+0.03%),Bank of America Corporation (BAC),"37,838,224"
18.32,130.548B,(-0.16%),AT&T Inc. (T),"36,646,181"
28.20,116.381B,(-0.04%),Intel Corporation (INTC),"43,034,400"
86.70,1.121T,(-0.15%),Alphabet Inc. (GOOG),"40,173,284"
5.92,6.129B,(-0.51%),"Lumen Technologies, Inc. (LUMN)","42,512,205"
9.14,14.744B,(+0.33%),Snap Inc. (SNAP),"33,394,829"
75.18,86.944B,(-0.47%),"PayPal Holdings, Inc. (PYPL)","41,464,864"
44.38,69.299B,(+0.27%),"JD.com, Inc. (JD)","18,454,943"
3.8600,5.018B,(+1.04%),Kinross Gold Corporation (KGC),"40,504,885"
32.03,21.703B,(+0.19%),Marathon Oil Corporation (MRO),"16,878,223"
5.65,2.9B,(-1.77%),"AMC Entertainment Holdings, Inc. (AMC)","17,835,042"
1.5700,3.47B,(+0.64%),"AMC Entertainment Holdings, Inc. (APE)","18,636,929"
4.2400,11.07B,(-0.94%),Credit Suisse Group AG (CS),"19,427,693"
15.31,30.432B,(+0.07%),PG&E Corporation (PCG),"16,237,612"
13.89,23.305B,(+0.07%),"Lucid Group, Inc. (LCID)","19,218,421"
58.82,15.405B,(+0.19%),"Coinbase Global, Inc. (COIN)","18,721,320"
13.02,6.709B,(-0.84%),Cleveland-Cliffs Inc. (CLF),"18,690,958"
56.16,61.055B,(0.00%),"Micron Technology, Inc. (MU)","18,882,663"
41.09,13.491B,(+0.95%),"Cloudflare, Inc. (NET)","19,546,192"
3.8100,2.329B,(+0.26%),"Tilray Brands, Inc. (TLRY)","20,050,370"
28.39,56.21B,(-0.11%),"Uber Technologies, Inc. (UBER)","22,083,982"
